N  FE
0.7037464540322834  2.229125146312909
0.7515912277346998  2.3324307559192565
0.8013080776406394  2.437158589155655
0.8529148308101293  2.543244060466704
0.9064286655379746  2.6506232217009233
0.9618661364202958  2.7592327751772543
1.019243198366904  2.86901008437274
1.0785752296106421  2.9798931824840644
1.1398770537617033  3.091820779086631
1.203162960952112  3.2047322650908283
1.268446728112903  3.31856771617344
1.3357416384241003  3.433267894843327
1.4050604999753427  3.5487742512839517
1.4764156636729293  3.6650289231008006
1.5498190404270769  3.781974734088514
1.6252821176514143  3.899555192121588
1.702815975105028  4.017714486261821
1.7824313001058063  4.136397483166878
1.8641384021423715  4.255549722876286
1.9479472269104883  4.375117414043639
2.033867369798588  4.495047428677705
2.1219080888457817  4.615287296448855
2.2120783171946865  4.7357851986125
2.304386675060209  4.856489961595829
2.3988414812345464  4.977351050290628
2.4954507641475905  5.098318561090296
2.594222272501179  5.219343214706511
2.695163485494624  5.340376348797127
2.7982816226582914  5.4613699104343905
2.9035836533111805  5.582276448439727
3.011076305657743  5.703049105609392
3.120766075538534  5.823641610852266
3.2326592348486014  5.944008271260304
3.3467618396369643  6.064103964129042
3.4630797378998897  6.183884128944929
3.581618577080209  6.30330475935427
3.702383811284273  6.422322395127123
3.825380708227814  6.540894114128636
3.9506143559213247  6.65897752430863
4.078089669105252  6.776530755719592
4.207811395444828  6.89351245257209
4.3397841214939215  7.009881765335738
4.474012278436937  7.125598342892986
4.61050014761743  7.240622324752302
4.7492518658617  7.354914333326787
4.890271430605307  7.468435466283244
5.033562704830183  7.581147288966432
5.179129421819576  7.693011826902661
5.326975189737934  7.803991558386411
5.477103496042359  7.914049407153208
5.6295177117322055  8.023148735140781
5.784221095442915  8.131253335342489
5.941216797390149  8.238327424753258
6.100507863169818  8.344335637410811
6.2620972374195905  8.449243017533572
6.4259877673471175  8.5530150127558
6.5921822061300075  8.655617467461559
6.760683216192437  8.757016616217603
6.931493372363091  8.857179077306144
7.104615164918835  8.956071846357412
7.280051002518492  9.053662290082283
7.457803215030889  9.149918140104987
7.6378740562610155  9.244807486895484
7.820265706578309  9.338298773801522
8.004980275450524  9.430360791179494
8.192019803886925  9.520962670624023
8.381386266793978  9.610073879295213
8.573081575247041  9.697664214343304
8.767107578680923  9.783703797429117
8.96346606700255  9.868163069340714
9.162158772628501  9.95101278470385
9.363187372450207  10.03222400678612
9.566553489729602  10.111768102393965
9.772258695927595  10.18961673686031
9.980304512468058  10.265741869123142
10.190692412439525  10.340115746892694
10.403423822237055  10.412710901906522
10.618500123146271  10.483500145271712
10.835922652871899  10.552456562891877
11.055692707012675  10.619553510978673
11.277811540484613  10.684764611646285
11.502280368894679  10.748063748587152
11.729100369866398  10.809425062828721
11.958272684319377  10.868822948568411
12.1897984177043  10.926232049087103
12.423678641195101  10.981627252738544
12.659914392839704  11.03498368901422
12.898506678671087  11.086276724682337
